domain,n_rows,outlet_type
oilandgas360.com,1,trade
newstalkkit.com,1,local
maurice-info.mu,1,national
localgov.co.uk,1,trade
keyw.com,1,local
fox23.com,1,local
stategazette.com,1,local
wvpublic.org,1,local
argusmedia.com,1,trade
broadcastnow.co.uk,1,trade
amazingmadison.com,1,local
timesobserver.com,1,local
courant.com,1,local
ksal.com,1,local
sentinelandenterprise.com,1,local
kunr.org,1,local
tucsonsentinel.com,1,local
echopress.com,1,local
scientificamerican.com,1,national
bondbuyer.com,1,trade
healthcareitnews.com,1,trade
upi.com,1,wire_pr
wpxi.com,1,local
vicnews.com,1,local
news8000.com,1,local
news-herald.com,1,local
foxbangor.com,1,local
inewsgr.com,1,national
readingchronicle.co.uk,1,local
wfaa.com,1,local
calgarysun.com,1,local
reminetwork.com,1,trade
dnaindia.com,1,national
en.shafaqna.com,1,national
intelligentinsurer.com,1,trade
ieyenews.com,1,national
brainerddispatch.com,1,local
kptv.com,1,local
euro-petrole.com,1,trade
bowenislandundercurrent.com,1,local
wkyufm.org,1,local
localmemphis.com,1,local
glendalestar.com,1,local
georgiapolicy.org,1,other
re-port.ru,1,trade
thedailyrecord.com,1,local
intergameonline.com,1,trade
news-daily.com,1,local
altoonamirror.com,1,local
kdrv.com,1,local
joannenova.com.au,1,other
salemnews.net,1,local
ey.com,1,other
theitem.com,1,local
timesleaderonline.com,1,local
scworld.com,1,trade
gfmag.com,1,trade
newsroom.cisco.com,1,other
heraldstaronline.com,1,local
carolinajournal.com,1,local
lehighvalleylive.com,1,local
abnnewswire.net,1,wire_pr
delcotimes.com,1,local
beat102103.com,1,local
scmr.com,1,trade
kgw.com,1,local
wptf.com,1,local
dailypolitical.com,1,wire_pr
wmuk.org,1,local
massachusettssun.com,1,local
krmg.com,1,local
maysville-online.com,1,local
climatechangedispatch.com,1,other
wdtimes.com,1,local
power-eng.com,1,trade
augustafreepress.com,1,local
iafrica.com,1,national
insurancebusinessmag.com,1,trade
13abc.com,1,local
timeslive.co.za,1,national
santacruzsentinel.com,1,local
heraldbulletin.com,1,local
swissinfo.ch,1,national
mayerthorpefreelancer.com,1,local
maritime-executive.com,1,trade
hepburnadvocate.com.au,1,local
tspr.org,1,local
arstechnica.com,1,national
foreignpolicy.com,1,national
cbs8.com,1,local
slashgear.com,1,national
kten.com,1,local
americanpress.com,1,local
929thelake.com,1,local
abc15.com,1,local
abc.net.au,1,national
fox5atlanta.com,1,local
cityam.com,1,national
wuky.org,1,local
ksut.org,1,local
kool1017.com,1,local
watertechonline.com,1,trade
csmonitor.com,1,national
sherepricetarget.com,1,other
knpr.org,1,local
greekreporter.com,1,national
delawarepublic.org,1,local
ktrh.iheart.com,1,local
westmeathexaminer.ie,1,local
helsinkitimes.fi,1,national
cen.acs.org,1,trade
spotlightpa.org,1,local
fox6now.com,1,local
yourthurrock.com,1,local
nextplatform.com,1,trade
k2radio.com,1,local
vindy.com,1,local
justthenews.com,1,national
minotdailynews.com,1,local
whmi.com,1,local
electroiq.com,1,trade
newschannel10.com,1,local
cootamundraherald.com.au,1,local
witf.org,1,local
discoverairdrie.com,1,local
mohavedailynews.com,1,local
talkradio960.com,1,local
wgal.com,1,local
insuranceinsider.com,1,trade
dailymemphian.com,1,local
klove.com,1,national
businessdailynetwork.com,1,wire_pr
mycountry955.com,1,local
theintermountain.com,1,local
popsci.com,1,national
weau.com,1,local
rappler.com,1,national
whky.com,1,local
klcc.org,1,local
riviera-maya-news.com,1,local
livecharts.co.uk,1,wire_pr
theonion.com,1,other
kbtx.com,1,local
livenews.co.nz,1,national
www2.fundsforngos.org,1,other
wvasfm.org,1,local
whyy.org,1,local
gainesvilletimes.com,1,local
texastribune.org,1,local
decaturish.com,1,local
