topic,month,article_count,avg_tone
crypto_mining,2017-11,136,-0.374
crypto_mining,2017-12,352,-1.1591
crypto_mining,2018-01,631,-0.6077
crypto_mining,2018-02,677,-1.851
crypto_mining,2018-03,446,-0.7603
crypto_mining,2018-04,470,-1.4504
crypto_mining,2018-05,297,-1.1967
crypto_mining,2018-06,311,-0.4744
crypto_mining,2018-07,308,-1.1133
crypto_mining,2018-08,304,-0.4897
crypto_mining,2018-09,206,-1.3586
crypto_mining,2018-10,147,-1.0912
crypto_mining,2018-11,273,-0.9594
crypto_mining,2018-12,168,-1.4532
crypto_mining,2019-01,135,-2.6884
crypto_mining,2019-02,87,-1.4367
crypto_mining,2019-03,120,-0.3394
crypto_mining,2019-04,227,-2.1054
crypto_mining,2019-05,87,-1.6527
crypto_mining,2019-06,125,-0.6634
crypto_mining,2019-07,99,-2.011
crypto_mining,2019-08,92,-1.8391
crypto_mining,2019-09,100,-0.5739
crypto_mining,2019-10,105,-0.6207
crypto_mining,2019-11,124,-0.8762
crypto_mining,2019-12,155,-1.5284
crypto_mining,2020-01,41,-1.1091
crypto_mining,2020-02,68,-0.4369
crypto_mining,2020-03,46,-1.065
crypto_mining,2020-04,84,-1.2818
crypto_mining,2020-05,102,-0.2997
crypto_mining,2020-06,84,-1.5993
crypto_mining,2020-07,47,-1.4001
crypto_mining,2020-08,68,-1.0446
crypto_mining,2020-09,65,-0.9591
crypto_mining,2020-10,19,-1.0529
crypto_mining,2020-11,41,-0.1425
crypto_mining,2020-12,163,-0.2759
crypto_mining,2021-01,209,-0.5345
crypto_mining,2021-02,238,-0.2228
crypto_mining,2021-03,390,-0.0421
crypto_mining,2021-04,219,-0.8182
crypto_mining,2021-05,585,-1.2952
crypto_mining,2021-06,527,-1.1793
crypto_mining,2021-07,543,-1.0612
crypto_mining,2021-08,291,0.3562
crypto_mining,2021-09,311,-0.4004
crypto_mining,2021-10,649,-0.474
crypto_mining,2021-11,320,-0.5823
crypto_mining,2021-12,371,-0.3924
crypto_mining,2022-01,432,-1.4326
crypto_mining,2022-02,322,-0.6609
crypto_mining,2022-03,316,-0.6476
crypto_mining,2022-04,390,-0.4559
crypto_mining,2022-05,344,-0.8723
crypto_mining,2022-06,419,-0.8146
crypto_mining,2022-07,288,-1.1397
crypto_mining,2022-08,208,-0.7748
crypto_mining,2022-09,233,-0.764
crypto_mining,2022-10,239,-0.9103
crypto_mining,2022-11,220,-1.5548
crypto_mining,2022-12,322,-1.6151
crypto_mining,2023-01,271,-1.6855
crypto_mining,2023-02,189,-0.6316
crypto_mining,2023-03,194,-0.2811
crypto_mining,2023-04,305,-0.2513
crypto_mining,2023-05,358,-0.4462
crypto_mining,2023-06,315,-0.2414
crypto_mining,2023-07,248,0.3523
crypto_mining,2023-08,231,-0.4613
crypto_mining,2023-09,284,-0.1473
crypto_mining,2023-10,264,0.5849
crypto_mining,2023-11,244,0.451
crypto_mining,2023-12,209,0.5275
crypto_mining,2024-01,182,0.4469
crypto_mining,2024-02,391,-1.1104
crypto_mining,2024-03,202,-0.3116
crypto_mining,2024-04,395,-0.1298
crypto_mining,2024-05,273,-1.4996
crypto_mining,2024-06,275,-0.1377
crypto_mining,2024-07,241,-1.3625
crypto_mining,2024-08,265,-1.5852
crypto_mining,2024-09,154,-0.4102
crypto_mining,2024-10,158,-0.5916
crypto_mining,2024-11,191,-0.5435
crypto_mining,2024-12,186,-1.3241
crypto_mining,2025-01,150,0.1836
crypto_mining,2025-02,84,-0.6915
crypto_mining,2025-03,152,0.8446
crypto_mining,2025-04,126,-0.1333
crypto_mining,2025-05,143,0.1685
crypto_mining,2025-06,50,1.5324
crypto_mining,2025-07,194,0.345
crypto_mining,2025-08,136,0.2303
crypto_mining,2025-09,102,0.7146
crypto_mining,2025-10,160,0.6284
crypto_mining,2025-11,200,-1.0338
crypto_mining,2025-12,130,-0.7234
crypto_mining,2026-01,113,-0.609
crypto_mining,2026-02,105,-1.1258
crypto_mining,2026-03,99,0.0364
crypto_mining,2026-04,79,-0.248
crypto_mining,2026-05,54,-0.7065
crypto_mining,2026-06,67,-1.1319
datacenter,2015-02,762,1.2933
datacenter,2015-03,1424,1.2862
datacenter,2015-04,1339,1.133
datacenter,2015-05,1147,1.3388
datacenter,2015-06,1654,0.8036
datacenter,2015-07,1779,1.1151
datacenter,2015-08,1403,0.9971
datacenter,2015-09,1534,1.2599
datacenter,2015-10,1526,1.0723
datacenter,2015-11,1425,1.2116
datacenter,2015-12,1422,0.8912
datacenter,2016-01,1553,1.0893
datacenter,2016-02,1398,0.798
datacenter,2016-03,1472,1.5121
datacenter,2016-04,1003,1.5094
datacenter,2016-05,1338,1.3395
datacenter,2016-06,1278,1.4679
datacenter,2016-07,1192,1.2662
datacenter,2016-08,1604,0.8977
datacenter,2016-09,1586,0.9987
datacenter,2016-10,1189,1.3613
datacenter,2016-11,1376,1.6
datacenter,2016-12,999,1.1896
datacenter,2017-01,1382,1.0734
datacenter,2017-02,1094,1.2952
datacenter,2017-03,1155,1.4955
datacenter,2017-04,974,1.3635
datacenter,2017-05,1446,1.4537
datacenter,2017-06,984,1.5044
datacenter,2017-07,1523,0.8728
datacenter,2017-08,1233,1.295
datacenter,2017-09,863,1.305
datacenter,2017-10,1188,1.2887
datacenter,2017-11,1182,1.3009
datacenter,2017-12,634,1.2139
datacenter,2018-01,917,0.9839
datacenter,2018-02,928,1.1486
datacenter,2018-03,1261,1.3418
datacenter,2018-04,827,1.0546
datacenter,2018-05,1121,0.9737
datacenter,2018-06,1137,1.54
datacenter,2018-07,1014,1.2712
datacenter,2018-08,936,1.397
datacenter,2018-09,1116,1.1008
datacenter,2018-10,862,1.4409
datacenter,2018-11,878,1.4738
datacenter,2018-12,575,1.3613
datacenter,2019-01,822,1.2305
datacenter,2019-02,1106,1.0281
datacenter,2019-03,803,1.5441
datacenter,2019-04,812,1.5817
datacenter,2019-05,826,1.3816
datacenter,2019-06,806,1.4308
datacenter,2019-07,821,1.4222
datacenter,2019-08,641,1.3715
datacenter,2019-09,799,0.6871
datacenter,2019-10,792,1.4481
datacenter,2019-11,862,1.8201
datacenter,2019-12,564,1.4665
datacenter,2020-01,572,1.1444
datacenter,2020-02,658,1.343
datacenter,2020-03,587,1.1791
datacenter,2020-04,565,1.1378
datacenter,2020-05,668,1.1689
datacenter,2020-06,664,1.5359
datacenter,2020-07,817,1.6308
datacenter,2020-08,767,1.1102
datacenter,2020-09,694,1.3558
datacenter,2020-10,688,0.8877
datacenter,2020-11,540,1.5657
datacenter,2020-12,558,1.4799
datacenter,2021-01,507,1.2888
datacenter,2021-02,627,1.2747
datacenter,2021-03,843,0.8649
datacenter,2021-04,766,0.7914
datacenter,2021-05,656,1.2339
datacenter,2021-06,802,0.5573
datacenter,2021-07,556,1.3152
datacenter,2021-08,580,1.122
datacenter,2021-09,829,1.148
datacenter,2021-10,989,0.6749
datacenter,2021-11,819,1.0271
datacenter,2021-12,572,0.6632
datacenter,2022-01,722,0.9728
datacenter,2022-02,725,1.4321
datacenter,2022-03,812,1.3963
datacenter,2022-04,855,1.4499
datacenter,2022-05,721,1.2215
datacenter,2022-06,716,1.5317
datacenter,2022-07,613,0.9168
datacenter,2022-08,832,0.4353
datacenter,2022-09,726,1.0606
datacenter,2022-10,589,1.1396
datacenter,2022-11,721,1.085
datacenter,2022-12,659,0.8525
datacenter,2023-01,654,0.9387
datacenter,2023-02,825,0.7076
datacenter,2023-03,682,1.4884
datacenter,2023-04,760,1.3755
datacenter,2023-05,1073,1.5226
datacenter,2023-06,1051,1.2745
datacenter,2023-07,790,1.5075
datacenter,2023-08,847,1.195
datacenter,2023-09,901,1.4348
datacenter,2023-10,846,1.5198
datacenter,2023-11,826,1.3492
datacenter,2023-12,714,1.8166
datacenter,2024-01,882,1.6209
datacenter,2024-02,777,1.4252
datacenter,2024-03,1069,1.797
datacenter,2024-04,1071,1.2949
datacenter,2024-05,1571,1.3252
datacenter,2024-06,1384,1.0208
datacenter,2024-07,1242,1.1719
datacenter,2024-08,1247,1.198
datacenter,2024-09,1614,1.1025
datacenter,2024-10,1695,1.4951
datacenter,2024-11,1475,1.4334
datacenter,2024-12,1579,1.1856
datacenter,2025-01,2125,1.0582
datacenter,2025-02,1698,1.1183
datacenter,2025-03,1500,1.2712
datacenter,2025-04,1874,0.7309
datacenter,2025-05,1713,1.0258
datacenter,2025-06,880,1.1454
datacenter,2025-07,2291,0.9521
datacenter,2025-08,2173,0.785
datacenter,2025-09,2809,0.8264
datacenter,2025-10,3486,0.8524
datacenter,2025-11,3518,0.782
datacenter,2025-12,3464,0.2357
datacenter,2026-01,4014,0.0367
datacenter,2026-02,4917,0.305
datacenter,2026-03,5524,-0.1248
datacenter,2026-04,5442,-0.3453
datacenter,2026-05,6774,-0.3689
datacenter,2026-06,8924,-0.4064
fracking,2015-02,755,-1.8745
fracking,2015-03,2969,-1.8446
fracking,2015-04,2366,-2.3582
fracking,2015-05,2456,-2.1034
fracking,2015-06,3249,-2.0341
fracking,2015-07,2204,-2.1293
fracking,2015-08,1531,-1.6619
fracking,2015-09,1483,-1.5638
fracking,2015-10,1615,-1.5995
fracking,2015-11,1571,-1.2841
fracking,2015-12,1438,-1.503
fracking,2016-01,1206,-1.3121
fracking,2016-02,1525,-2.023
fracking,2016-03,1567,-2.0408
fracking,2016-04,1638,-1.6644
fracking,2016-05,3600,-1.453
fracking,2016-06,2296,-1.8197
fracking,2016-07,1644,-1.9393
fracking,2016-08,1771,-1.6247
fracking,2016-09,1728,-1.9698
fracking,2016-10,1984,-1.0636
fracking,2016-11,1136,-2.0376
fracking,2016-12,1750,-2.0793
fracking,2017-01,947,-1.8619
fracking,2017-02,1231,-1.8053
fracking,2017-03,1343,-1.918
fracking,2017-04,855,-1.5395
fracking,2017-05,767,-1.5153
fracking,2017-06,566,-1.2897
fracking,2017-07,880,-1.4112
fracking,2017-08,523,-1.6557
fracking,2017-09,1177,-2.3268
fracking,2017-10,1406,-2.8844
fracking,2017-11,717,-2.7526
fracking,2017-12,676,-1.9294
fracking,2018-01,776,-1.4905
fracking,2018-02,590,-1.5905
fracking,2018-03,808,-1.2167
fracking,2018-04,598,-1.5478
fracking,2018-05,647,-1.7735
fracking,2018-06,478,-2.4446
fracking,2018-07,493,-1.5086
fracking,2018-08,438,-1.7111
fracking,2018-09,809,-2.2618
fracking,2018-10,2283,-2.7658
fracking,2018-11,749,-1.6313
fracking,2018-12,532,-1.93
fracking,2019-01,323,-1.8064
fracking,2019-02,374,-2.7861
fracking,2019-03,752,-1.604
fracking,2019-04,434,-1.6854
fracking,2019-05,622,-2.3052
fracking,2019-06,448,-2.2982
fracking,2019-07,378,-1.1353
fracking,2019-08,1138,-1.4159
fracking,2019-09,540,-1.579
fracking,2019-10,484,-2.4079
fracking,2019-11,1572,-2.6265
fracking,2019-12,222,-1.677
fracking,2020-01,394,-1.982
fracking,2020-02,524,-1.9266
fracking,2020-03,270,-2.3782
