topic,quarter,n_relevant,positive_share,negative_share,neutral_share,net_sentiment
crypto_mining,2024Q4,38,0.4211,0.3684,0.2105,0.0526
crypto_mining,2025Q1,40,0.45,0.3,0.25,0.15
crypto_mining,2025Q2,40,0.725,0.125,0.15,0.6
crypto_mining,2025Q3,39,0.7436,0.0769,0.1795,0.6667
crypto_mining,2025Q4,38,0.5263,0.2632,0.2105,0.2632
crypto_mining,2026Q1,39,0.5897,0.2564,0.1538,0.3333
crypto_mining,2026Q2,39,0.4359,0.3077,0.2564,0.1282
fracking,2015Q1,40,0.1,0.4,0.5,-0.3
fracking,2015Q2,37,0.3243,0.4054,0.2703,-0.0811
fracking,2015Q3,38,0.0526,0.6579,0.2895,-0.6053
fracking,2015Q4,38,0.1316,0.6053,0.2632,-0.4737
fracking,2016Q1,39,0.1282,0.5128,0.359,-0.3846
fracking,2016Q2,33,0.3939,0.4545,0.1515,-0.0606
fracking,2016Q3,37,0.2162,0.5676,0.2162,-0.3514
fracking,2016Q4,38,0.1316,0.7368,0.1316,-0.6053
fracking,2017Q1,34,0.1765,0.3824,0.4412,-0.2059
fracking,2017Q2,37,0.1622,0.5676,0.2703,-0.4054
fracking,2017Q3,35,0.1714,0.4,0.4286,-0.2286
fracking,2017Q4,37,0.1622,0.5946,0.2432,-0.4324
fracking,2018Q1,37,0.0811,0.6486,0.2703,-0.5676
fracking,2018Q2,35,0.2286,0.5714,0.2,-0.3429
fracking,2018Q3,37,0.2973,0.5405,0.1622,-0.2432
fracking,2018Q4,40,0.25,0.45,0.3,-0.2
fracking,2019Q1,34,0.1176,0.7353,0.1471,-0.6176
fracking,2019Q2,38,0.1579,0.5263,0.3158,-0.3684
fracking,2019Q3,37,0.1351,0.5676,0.2973,-0.4324
fracking,2019Q4,39,0.0769,0.7179,0.2051,-0.641
fracking,2020Q1,36,0.2222,0.4722,0.3056,-0.25
fracking,2020Q2,40,0.225,0.575,0.2,-0.35
fracking,2020Q3,33,0.0606,0.303,0.6364,-0.2424
fracking,2020Q4,35,0.1429,0.2286,0.6286,-0.0857
fracking,2021Q1,34,0.0588,0.3235,0.6176,-0.2647
fracking,2021Q2,35,0.2286,0.4571,0.3143,-0.2286
fracking,2021Q3,35,0.0571,0.6857,0.2571,-0.6286
fracking,2021Q4,35,0.2286,0.6286,0.1429,-0.4
fracking,2022Q1,40,0.4,0.475,0.125,-0.075
fracking,2022Q2,40,0.475,0.15,0.375,0.325
fracking,2022Q3,35,0.1429,0.3143,0.5429,-0.1714
fracking,2022Q4,34,0.0882,0.5,0.4118,-0.4118
fracking,2023Q1,39,0.2564,0.5897,0.1538,-0.3333
fracking,2023Q2,33,0.0909,0.6667,0.2424,-0.5758
fracking,2023Q3,35,0.1714,0.6286,0.2,-0.4571
fracking,2023Q4,36,0.1389,0.6111,0.25,-0.4722
fracking,2024Q1,36,0.0833,0.5833,0.3333,-0.5
fracking,2024Q2,39,0.1538,0.7179,0.1282,-0.5641
fracking,2024Q3,35,0.0571,0.1714,0.7714,-0.1143
fracking,2024Q4,30,0.1,0.2667,0.6333,-0.1667
fracking,2025Q1,23,0.3478,0.4783,0.1739,-0.1304
fracking,2025Q2,29,0.2414,0.5172,0.2414,-0.2759
fracking,2025Q3,29,0.2069,0.5862,0.2069,-0.3793
fracking,2025Q4,32,0.0625,0.8438,0.0938,-0.7812
fracking,2026Q1,31,0.2903,0.4839,0.2258,-0.1935
fracking,2026Q2,35,0.1429,0.4857,0.3714,-0.3429
solar,2015Q1,34,0.2647,0.2941,0.4412,-0.0294
solar,2015Q2,32,0.625,0.2188,0.1562,0.4062
solar,2015Q3,33,0.6667,0.1515,0.1818,0.5152
solar,2015Q4,29,0.5172,0.2759,0.2069,0.2414
solar,2016Q1,27,0.6667,0.0741,0.2593,0.5926
solar,2016Q2,32,0.5312,0.1875,0.2812,0.3438
solar,2016Q3,39,0.5897,0.1538,0.2564,0.4359
solar,2016Q4,39,0.6154,0.2051,0.1795,0.4103
solar,2017Q1,36,0.6667,0.1389,0.1944,0.5278
solar,2017Q2,38,0.4211,0.1579,0.4211,0.2632
solar,2017Q3,38,0.5789,0.2105,0.2105,0.3684
solar,2017Q4,37,0.4865,0.2432,0.2703,0.2432
solar,2018Q1,40,0.275,0.6,0.125,-0.325
solar,2018Q2,36,0.6944,0.0833,0.2222,0.6111
solar,2018Q3,40,0.6,0.15,0.25,0.45
solar,2018Q4,36,0.5278,0.1389,0.3333,0.3889
solar,2019Q1,40,0.625,0.175,0.2,0.45
solar,2019Q2,39,0.6154,0.2564,0.1282,0.359
solar,2019Q3,39,0.6923,0.1538,0.1538,0.5385
solar,2019Q4,37,0.5135,0.2432,0.2432,0.2703
solar,2020Q1,38,0.5789,0.2368,0.1842,0.3421
solar,2020Q2,36,0.5556,0.0833,0.3611,0.4722
solar,2020Q3,35,0.6857,0.1143,0.2,0.5714
solar,2020Q4,39,0.4103,0.2051,0.3846,0.2051
solar,2021Q1,34,0.5,0.1765,0.3235,0.3235
solar,2021Q2,30,0.6667,0.2,0.1333,0.4667
solar,2021Q3,37,0.4865,0.1351,0.3784,0.3514
solar,2021Q4,36,0.5833,0.1667,0.25,0.4167
solar,2022Q1,37,0.5135,0.1892,0.2973,0.3243
solar,2022Q2,38,0.5263,0.1053,0.3684,0.4211
solar,2022Q3,33,0.5758,0.1212,0.303,0.4545
solar,2022Q4,35,0.4857,0.2,0.3143,0.2857
solar,2023Q1,38,0.5789,0.1579,0.2632,0.4211
solar,2023Q2,37,0.4865,0.2432,0.2703,0.2432
solar,2023Q3,39,0.6154,0.1538,0.2308,0.4615
solar,2023Q4,37,0.7568,0.1351,0.1081,0.6216
solar,2024Q1,38,0.4474,0.2368,0.3158,0.2105
solar,2024Q2,39,0.6154,0.2051,0.1795,0.4103
solar,2024Q3,38,0.6842,0.1579,0.1579,0.5263
solar,2024Q4,39,0.5128,0.2051,0.2821,0.3077
solar,2025Q1,38,0.3684,0.2632,0.3684,0.1053
solar,2025Q2,38,0.4211,0.2105,0.3684,0.2105
solar,2025Q3,40,0.575,0.175,0.25,0.4
solar,2025Q4,38,0.3947,0.3947,0.2105,0.0
solar,2026Q1,40,0.475,0.35,0.175,0.125
solar,2026Q2,40,0.525,0.325,0.15,0.2
wind,2015Q1,32,0.5938,0.2188,0.1875,0.375
wind,2015Q2,39,0.3846,0.4872,0.1282,-0.1026
wind,2015Q3,33,0.4545,0.3333,0.2121,0.1212
wind,2015Q4,32,0.5,0.4375,0.0625,0.0625
wind,2016Q1,37,0.6216,0.2703,0.1081,0.3514
wind,2016Q2,37,0.5405,0.2162,0.2432,0.3243
wind,2016Q3,38,0.6579,0.2105,0.1316,0.4474
wind,2016Q4,37,0.5135,0.2703,0.2162,0.2432
wind,2017Q1,38,0.4737,0.2632,0.2632,0.2105
wind,2017Q2,36,0.4722,0.25,0.2778,0.2222
wind,2017Q3,38,0.5,0.2368,0.2632,0.2632
wind,2017Q4,35,0.6,0.1714,0.2286,0.4286
wind,2018Q1,36,0.4444,0.1944,0.3611,0.25
wind,2018Q2,39,0.5641,0.1538,0.2821,0.4103
wind,2018Q3,38,0.3158,0.1316,0.5526,0.1842
wind,2018Q4,35,0.5143,0.1714,0.3143,0.3429
wind,2019Q1,36,0.5,0.2222,0.2778,0.2778
wind,2019Q2,32,0.5938,0.125,0.2812,0.4688
wind,2019Q3,34,0.5588,0.2647,0.1765,0.2941
wind,2019Q4,34,0.5588,0.2059,0.2353,0.3529
wind,2020Q1,34,0.6176,0.0882,0.2941,0.5294
wind,2020Q2,35,0.6,0.1714,0.2286,0.4286
wind,2020Q3,34,0.4118,0.2059,0.3824,0.2059
wind,2020Q4,35,0.4,0.0571,0.5429,0.3429
wind,2021Q1,38,0.5263,0.1316,0.3421,0.3947
